,Rnd.,대회,홈 득점,홈 도움,홈 슈팅,홈 유효 슈팅,홈 블락된슈팅,홈 벗어난슈팅,홈 PA내 슈팅,홈 PA외 슈팅,홈 프리킥 슈팅,홈 프리킥 유효슈팅,홈 프리킥 크로스,홈 오프사이드,홈 코너킥,홈 스로인,홈 드리블,홈 패스,홈 키패스,홈 전방패스,홈 후방패스,홈 횡패스,홈 공격진영 패스,홈 수비진영 패스,홈 중앙진영 패스,홈 롱패스,홈 중거리패스,홈 단거리패스,홈 크로스,홈 탈압박,홈 경합 지상,홈 경합 공중,홈 태클,홈 클리어링,홈 인터셉트,홈 차단,홈 획득,홈 블락,홈 볼미스,홈 파울,홈 피파울,홈 경고,홈 퇴장,홈 팀,시즌,홈 경기결과,홈 소속 선수 수,홈 평균 나이,홈 용병 수,홈 평균 가치,홈 총 가치,원정 득점,원정 도움,원정 슈팅,원정 유효 슈팅,원정 블락된슈팅,원정 벗어난슈팅,원정 PA내 슈팅,원정 PA외 슈팅,원정 프리킥 슈팅,원정 프리킥 유효슈팅,원정 프리킥 크로스,원정 오프사이드,원정 코너킥,원정 스로인,원정 드리블,원정 패스,원정 키패스,원정 전방패스,원정 후방패스,원정 횡패스,원정 공격진영 패스,원정 수비진영 패스,원정 중앙진영 패스,원정 롱패스,원정 중거리패스,원정 단거리패스,원정 크로스,원정 탈압박,원정 경합 지상,원정 경합 공중,원정 태클,원정 클리어링,원정 인터셉트,원정 차단,원정 획득,원정 블락,원정 볼미스,원정 파울,원정 피파울,원정 경고,원정 퇴장,원정 팀,원정 경기결과,원정 소속 선수 수,원정 평균 나이,원정 용병 수,원정 평균 가치,원정 총 가치
0,1,대구vs수원FC,1,1,13,4,2,7,5,8,1,0,0.0,2,7,31,37.5,78.7,7,66.5,97.2,83.9,62.1,81.8,83.9,50.0,83.4,81.1,13.6,0,51.0,52.2,40.0,7,29,48,87,3,9,13,14,1,0,daegu,2021,D,42,22.9,5,279.0,11.7,1,0,11,2,3,6,5,6,0,0,50.0,0,1,12,50.0,78.3,5,62.6,92.2,90.6,69.9,67.3,84.5,45.2,79.5,85.3,16.7,0,49.0,47.8,60.0,17,25,60,84,2,6,15,13,3,0,suwonFC,D,36,25.6,5,350.0,12.6
1,32,대구vs수원FC,0,0,6,1,2,3,2,4,1,1,0.0,5,5,11,33.3,68.5,2,55.8,95.8,73.8,59.6,69.4,72.2,47.3,72.1,80.0,12.5,2,60.0,47.9,50.0,17,11,39,68,6,6,14,10,1,0,daegu,2021,D,42,22.9,5,279.0,11.7,0,0,17,1,7,9,9,8,2,0,0.0,1,9,11,50.0,86.0,7,77.5,96.2,88.8,72.1,86.9,90.9,59.7,89.8,89.1,15.0,5,40.0,52.1,0.0,13,12,30,78,2,5,10,13,1,0,suwonFC,D,36,25.6,5,350.0,12.6
2,19,대구vs수원FC,0,0,12,3,2,7,8,4,0,0,50.0,2,3,19,40.0,88.2,5,74.4,96.9,97.2,88.7,82.6,89.9,62.7,93.8,90.9,19.2,2,61.9,46.9,16.7,24,27,12,49,13,7,14,9,3,0,daegu,2022,D,43,22.6,6,228.0,9.83,0,0,13,4,3,6,8,5,1,0,50.0,0,3,11,50.0,88.1,9,74.0,98.9,96.2,86.1,74.7,93.5,60.0,94.7,90.9,38.9,2,38.1,53.1,27.3,38,20,14,37,12,4,9,14,1,0,suwonFC,D,32,26.3,4,287.0,9.18
3,35,대구vs수원FC,2,2,7,3,1,3,6,1,0,0,66.7,3,2,18,11.1,78.7,5,67.1,98.1,87.3,81.6,74.4,80.5,48.8,80.2,86.7,50.0,1,34.8,56.4,31.6,49,23,14,37,20,6,20,10,4,0,daegu,2022,W,43,22.6,6,228.0,9.83,1,1,6,1,2,3,5,1,0,0,20.0,1,4,14,0.0,88.3,6,77.2,98.5,93.4,69.4,87.7,92.1,54.2,89.9,92.8,14.3,3,65.2,43.6,42.9,25,23,15,52,10,5,10,20,0,0,suwonFC,L,32,26.3,4,287.0,9.18
4,18,대구vs수원FC,3,3,9,5,0,4,5,4,0,0,0.0,1,5,14,60.0,83.6,7,71.9,96.2,92.5,73.6,73.6,89.7,54.4,88.3,88.1,31.6,1,50.0,48.7,32.4,35,26,20,52,20,3,8,16,2,0,daegu,2023,W,41,24.2,5,254.0,10.4,1,1,17,4,4,9,8,9,0,0,0.0,2,7,17,44.4,88.7,14,82.7,97.5,90.0,74.3,87.1,93.5,73.6,90.0,90.4,27.6,2,50.0,51.3,29.0,24,29,26,62,14,5,17,8,3,0,suwonFC,L,37,27.1,4,277.0,10.25
5,33,대구vs수원FC,2,2,11,4,4,3,6,5,1,0,0.0,1,4,22,20.0,76.9,4,61.7,94.0,90.9,78.3,74.7,77.5,54.4,80.6,82.1,13.6,3,64.3,44.1,27.3,19,30,13,61,14,12,14,12,2,0,daegu,2023,D,41,24.2,5,254.0,10.4,2,2,9,2,3,4,5,4,0,0,0.0,1,1,13,0.0,88.6,7,76.1,96.7,94.9,73.9,85.5,92.3,62.1,92.1,92.0,10.0,2,35.7,55.9,25.0,36,29,16,41,31,7,12,14,1,0,suwonFC,D,37,27.1,4,277.0,10.25
6,2,인천vs대구,2,0,12,5,2,5,9,3,0,0,0.0,1,3,31,14.3,78.0,8,65.5,92.2,87.9,65.6,68.5,84.8,44.2,78.8,83.8,33.3,1,60.0,52.4,60.0,23,21,61,75,4,5,23,12,3,0,incheon,2021,W,42,24.8,4,304.0,12.75,1,0,14,2,5,7,7,7,2,0,50.0,1,7,30,33.3,72.2,8,56.2,95.3,84.6,71.2,61.2,78.0,39.1,75.0,80.2,28.6,0,40.0,47.6,50.0,11,13,59,102,2,10,13,22,1,0,daegu,L,42,22.9,5,279.0,11.7
7,27,인천vs대구,2,1,10,4,1,5,4,6,1,1,0.0,1,0,21,27.3,80.0,6,65.4,96.9,89.6,81.2,71.7,85.1,51.9,81.4,87.9,44.4,6,50.8,44.9,55.6,24,7,39,82,4,12,11,17,1,0,incheon,2021,W,42,24.8,4,304.0,12.75,0,0,17,6,3,8,10,7,0,0,100.0,7,4,25,16.7,83.9,13,76.8,96.2,86.7,67.2,88.8,88.2,60.7,86.2,89.0,20.8,8,49.2,55.1,50.0,5,26,41,80,1,14,17,11,1,0,daegu,L,42,22.9,5,279.0,11.7
8,13,인천vs대구,2,0,8,4,1,3,5,3,0,0,0.0,1,5,41,50.0,78.6,4,64.4,97.3,85.7,74.3,69.9,83.5,39.0,87.0,83.6,10.7,5,59.0,40.8,38.9,30,41,24,67,29,8,9,17,0,0,incheon,2022,D,37,25.9,4,300.0,11.1,2,1,10,5,1,4,6,4,1,1,0.0,0,2,27,33.3,66.2,6,57.1,88.7,73.8,72.1,60.3,65.0,48.4,72.1,70.1,28.6,4,41.0,59.2,27.6,60,42,24,63,30,6,17,9,4,0,daegu,D,43,22.6,6,228.0,9.83
9,5,인천vs대구,0,0,6,1,0,5,2,4,0,0,0.0,2,7,28,15.4,90.2,2,76.9,97.3,96.3,82.5,85.1,92.6,57.4,93.1,92.4,8.3,4,50.0,55.1,43.8,47,23,23,63,25,5,9,11,2,0,incheon,2023,D,35,26.3,5,315.0,11.03,0,0,6,3,2,1,1,5,0,0,0.0,3,6,28,33.3,68.4,2,51.4,90.9,85.4,62.7,66.7,71.9,50.0,66.7,74.2,11.8,1,50.0,44.9,32.0,44,25,24,58,17,7,12,9,1,0,daegu,D,41,24.2,5,254.0,10.4
10,26,인천vs대구,3,3,12,5,1,6,6,6,0,0,0.0,0,2,22,28.6,84.5,8,68.0,100.0,92.0,78.0,76.2,89.2,54.8,91.3,87.9,14.3,4,55.6,54.8,38.5,33,27,27,43,18,9,11,9,3,0,incheon,2023,W,35,26.3,5,315.0,11.03,1,0,7,2,0,5,5,2,1,0,0.0,3,3,23,27.3,90.1,3,78.8,98.9,97.2,86.0,91.2,91.0,78.7,91.8,91.4,9.7,1,44.4,45.2,33.3,22,28,23,53,16,8,9,11,1,0,daegu,L,41,24.2,5,254.0,10.4
11,3,대구vs광주,1,0,17,4,6,7,10,7,0,0,100.0,0,5,28,50.0,79.5,11,72.8,91.2,81.6,72.9,79.8,85.1,63.9,84.1,80.1,33.3,1,47.7,70.9,28.6,19,21,42,96,2,12,18,14,2,0,daegu,2021,L,42,22.9,5,279.0,11.7,4,2,10,9,1,0,8,2,0,0,0.0,1,5,31,100.0,67.7,3,52.2,91.0,79.1,45.6,66.9,76.9,32.0,76.4,77.7,25.0,0,52.3,29.1,62.5,33,18,52,80,6,6,14,16,2,0,gwangju,W,37,25.6,4,288.0,10.65
12,26,대구vs광주,1,1,13,5,2,6,8,5,0,0,0.0,1,7,24,50.0,78.8,12,69.5,95.3,82.8,61.8,79.1,86.6,51.0,86.9,84.4,25.0,6,52.4,53.3,87.5,14,24,24,83,0,8,15,6,1,0,daegu,2021,L,42,22.9,5,279.0,11.7,2,1,7,5,0,2,3,4,1,1,0.0,0,5,19,50.0,68.6,2,50.0,92.9,84.3,56.9,63.7,74.1,29.9,79.5,79.5,8.3,3,47.6,46.7,50.0,17,18,38,79,2,4,6,15,2,0,gwangju,W,37,25.6,4,288.0,10.65
13,7,대구vs광주,3,2,12,5,4,3,9,3,0,0,0.0,1,7,24,25.0,81.8,10,64.3,95.7,96.0,79.7,80.6,82.8,46.2,90.9,83.4,30.0,5,66.7,42.9,25.0,23,25,22,54,14,13,17,15,5,0,daegu,2023,L,41,24.2,5,254.0,10.4,4,4,15,7,2,6,9,6,1,0,100.0,1,4,17,27.3,85.2,5,69.5,97.1,95.7,68.3,85.3,88.7,56.5,89.0,87.8,30.0,2,33.3,57.1,28.6,38,33,14,55,24,5,15,17,1,0,gwangju,W,33,26.3,5,329.0,10.85
14,36,대구vs광주,1,1,10,3,2,5,7,3,0,0,0.0,0,6,19,20.0,81.2,7,67.9,97.6,90.0,78.8,78.6,83.5,64.6,86.2,83.6,31.2,2,43.8,64.7,28.9,12,24,21,49,20,4,11,8,0,0,daegu,2023,D,41,24.2,5,254.0,10.4,1,1,10,2,4,4,3,7,0,0,0.0,2,2,14,44.4,93.3,8,85.3,98.0,96.3,89.4,88.2,95.8,75.6,94.0,94.6,11.8,5,56.2,35.3,44.4,27,27,20,49,28,14,8,11,2,0,gwangju,D,33,26.3,5,329.0,10.85
15,4,대구vs제주,1,0,16,4,3,9,10,6,1,0,0.0,1,4,24,0.0,70.3,8,53.8,88.5,83.0,69.1,63.2,74.3,46.2,72.7,78.2,25.0,0,44.8,52.2,12.5,8,21,42,102,2,14,13,14,2,0,daegu,2021,D,42,22.9,5,279.0,11.7,1,0,10,3,2,5,6,4,1,1,50.0,2,2,20,20.0,74.4,7,58.1,92.3,87.2,69.3,59.2,82.1,36.4,78.9,80.7,20.0,1,55.2,47.8,0.0,18,26,56,86,3,5,15,13,1,0,jeju,D,38,24.3,3,317.0,12.05
16,34,대구vs제주,0,0,14,1,4,9,3,11,1,0,0.0,3,1,21,25.0,74.9,8,60.5,93.3,85.3,66.7,63.0,84.7,48.5,84.5,76.9,20.0,1,46.3,48.0,57.1,13,16,45,86,4,12,13,10,0,0,daegu,2021,L,42,22.9,5,279.0,11.7,5,2,21,10,4,7,9,12,1,0,0.0,1,4,31,66.7,76.0,9,60.8,98.0,84.6,72.5,68.7,80.5,42.9,77.3,83.2,20.0,4,53.7,52.0,42.9,12,17,34,93,4,7,10,13,1,0,jeju,W,38,24.3,3,317.0,12.05
17,17,대구vs제주,1,1,13,2,2,9,4,9,1,0,0.0,2,5,17,28.6,76.4,6,60.4,100.0,90.6,77.8,69.4,79.5,53.2,78.7,83.8,21.1,4,46.9,63.4,35.0,30,37,20,59,30,10,12,14,3,0,daegu,2022,W,43,22.6,6,228.0,9.83,0,0,15,6,4,5,10,5,2,0,0.0,0,3,25,0.0,84.9,9,66.7,99.3,93.0,88.3,70.7,87.4,45.2,85.1,92.0,33.3,3,53.1,36.6,16.7,36,33,28,58,16,6,14,12,2,0,jeju,L,37,24.2,2,328.0,12.13
